Title,Summary,Date,Author,Source,URL,Title Length,Summary Length,Language
"Russia-Ukraine war: List of key events, day 867","Russia-Ukraine war: List of key events, day 867As the war enters its 867th day, these are the main developments.",07/31/2024,,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/31/russia-ukraine-war-list-of-key-events-day-867-2,47,112,en
Southport stabbing: What we know about the victims and suspect,"A 17-year-old suspect is in police custody after a UK knife attack kills three children and injures 10.
Three children have been killed in a stabbing during a dance class in Southport, a seaside town in northwest England.
At 11:47am (10:47 GMT) on Monday, a knife attack took place at a Taylor Swift-themed dance and yoga workshop at a yoga studio for children.
The third, a girl aged nine years, died Tuesday morning as a result of injuries sustained during the knife attack, Merseyside Police said in a statement.
In April, the Merseyside Police arrested three suspects from Southport in connection to a stabbing that took place in the city on March 29.",07/30/2024,"Al Jazeera Staff, How Have Uk Authorities Reacted",www.aljazeera.com,https://www.aljazeera.com/news/2024/7/30/southport-stabbing-what-we-know-about-the-victims-and-suspect,62,655,en
"Nearly 1,000 Indigenous children died in US boarding schools, report finds","US gov’t report finds dozens of marked and unmarked graves at institutions Indigenous children were forced to attend.
Warning: The story below contains details of Indigenous boarding schools that may be upsetting.
At least 973 Indigenous children died while attending boarding schools run or supported by the United States government, a federal report has found, prompting calls for an apology for the pain suffered at the abuse-riddled institutions.
In the US, hundreds of thousands of children were forcibly placed in boarding schools between 1869 and the 1960s, according to the National Native American Boarding School Healing Coalition.
The coalition says on its website that by 1926, nearly 83 percent of school-aged Indigenous children were attending the institutions.",07/30/2024,,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/30/nearly-1000-indigenous-children-died-in-us-boarding-schools-report-finds,74,775,en
Read Hamas’s statement on the killing of Ismail Haniyeh in Iran,"The Palestinian group that governs Gaza has blamed Israel for the assassination of its political chief.
This is a translation of a statement issued by Palestinian group Hamas after the killing of its political chief Ismail Haniyeh in Iran’s capital, Tehran.
[And do not think that those who are killed in the way of God are dead.
The Islamic Resistance Movement Hamas mourns our great Palestinian people, the Arab and Islamic nation, and all the free people of the world: brother, leader, martyr, Mujahid Ismail Haniyeh.
The head of the movement was killed in a treacherous Zionist raid on his residence in Tehran, after participating in the inauguration ceremony of the new Iranian president.",07/31/2024,,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/31/read-hamass-statement-on-the-killing-of-ismail-haniyeh-in-iran,63,693,en
Harris wipes out Trump’s lead in polls of US presidential race,"United States Vice President Kamala Harris has erased former President Donald Trump’s lead in the race for the White House, with the Democratic and Republican standard-bearers now locked in a dead heat, newly released polling shows.
Harris leads Trump in Michigan by 11 percentage points and by two points in Arizona, Wisconsin and Nevada, according to the poll.
Trump has a four-point advantage in Pennsylvania and a two-point lead in North Carolina, while the pair are tied in Georgia.
In a nationwide Reuters/Ipsos poll, Harris leads Trump 43 percent to 42 percent, which is within the margin of error.
Trump’s running mate, Ohio Senator JD Vance, on Tuesday returned to that theme during a campaign event in Nevada.",07/31/2024,,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/31/harris-narrows-gap-with-trump-in-us-national-battleground-state-polls,62,719,en
Hamas political chief Ismail Haniyeh assassinated in Iran,"Ismail Haniyeh was killed in Tehran where he had been attending the president’s inauguration.
Hamas’s political chief Ismail Haniyeh has been assassinated in Iran’s capital, Tehran, according to a statement from the group that governs Gaza, which blamed Israel for his death.
“Early this morning, the residence of Ismail Haniyeh in Tehran was struck, resulting in his and one of his bodyguards’ martyrdom.
The top Hamas leader in Gaza is Yahya Sinwar.
“Palestinians across Gaza and the West Bank also view Ismail Haniyeh as a moderate leader who is much more pragmatic compared to other leaders who head the military side of the movement,” Mahmoud said.",07/31/2024,,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/31/hamass-political-chief-ismail-haniyeh-assassinated-in-iran-state-media,57,653,en
Harris sees opening in Vance pick as she considers her own choice for vice president,"CNN —Kamala Harris’ plan as a running mate was to brush past JD Vance as nothing but a rubber stamp for Donald Trump.
Vance’s elevation — despite his relative lack of government experience — is giving Harris a new opportunity to go after Trump.
Several people hoping to get picked as Harris’ ticket mate echoed that message as they angle for the job.
Harris, 59, has the unique experience of leading a selection process only four years after going through it herself.
“We’re in a position where somebody has done the job of vice president,” a Harris adviser told CNN.",07/29/2024,Edward-Isaac Dovere,edition.cnn.com,https://edition.cnn.com/2024/07/29/politics/kamala-harris-jd-vance-vp-pick/index.html,84,567,en
"Harris goes on offensive on immigration, comparing her record with Trump’s","CNN —Vice President Kamala Harris went on the offensive on immigration at her rally in Atlanta Tuesday, attempting to counter former President Donald Trump’s attacks on the issue.
It paints Trump as unserious on border security and cites his decision to scuttle the bipartisan immigration deal that included some of the toughest border security measures in recent memory.
The video comes on the heels of two Trump campaign ads taking direct aim at Harris’ immigration portfolio.
While another shows a video of Harris dancing at an event, stating: “This is America’s border czar — and she’s failed us.”Both ads conclude by describing Harris as “failed.
Biden administration officials have repeatedly maintained that Harris focused on long-term fixes, while the Department of Homeland Security remained responsible for overseeing border security.",07/30/2024,"Priscilla Alvarez, Piper Hudspethblackburn",edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/harris-immigration-trump/index.html,74,844,en
"July 30, 2024, presidential campaign news","Far from the boring rematch that had many Americans tuning out politics, the 2024 presidential election has had wild twists and scary turns.
Democrats went from literally freaking out about his candidacy to a new excitement about Vice President Kamala Harris as his replacement.
He’d be the third-youngest vice president in US history and the first millennial in nationwide elected office if the Republican ticket wins.
With Biden out of the race, Vance is on the ticket with the oldest major-party nominee in history with Trump, a baby boomer.
Read more about what to expect with the presidential election less than 100 days away.",07/30/2024,"Aditi Sangal, Adrienne Vogt, Jack Forrest, Isabelle D Antonio, Clay Voytek, Cnn'S Eric Bradner, Cnn'S Kit Maher In Reno, Cnn'S Kayla Tausche, Cnn'S Donald Judd, Mj Lee",edition.cnn.com,https://edition.cnn.com/politics/live-news/kamala-harris-trump-election-07-30-24/index.html,41,631,en
Video: ‘Say it to my face’: Harris calls out Trump during Atlanta rally,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",07/30/2024,John Branch,edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/video/kamala-harris-debate-trump-atlanta-rally-ebof-digvid,71,206,en
Project 2025 director steps down amid backlash from Trump,"CNN —The director of Project 2025, the conservative blueprint for a potential second Donald Trump term, has stepped down amid intense criticism including from the former president.
In addition to stepping down from Project 2025, Dans is also leaving the Heritage Foundation.
“Project 2025 is on the ballot because Donald Trump is on the ballot,” Harris campaign manager Julie Chavez Rodriguez said.
But Project 2025 has lately become a lightning rod for other ideas Trump hasn’t explicitly backed.
He has also assured Trump’s supporters that Project 2025 would become a reality if the former president returned to 1600 Pennsylvania Avenue.",07/30/2024,"Steve Contorno, Kristen Holmes",edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/project-2025-paul-dans/index.html,57,639,en
The inside story of John Roberts and Trump’s immunity win at the Supreme Court,"This exclusive series on the Supreme Court is based on CNN sources inside and outside the court with knowledge of the deliberations.
Justices weren’t in a hurry to hear the caseThe immunity case first arrived at the justices’ door in December.
Perhaps, she hoped to influence lower court judges to read the Roberts opinion as more flexible for a future prosecution.
It was a particularly extreme section of Roberts’ opinion – decided by the kind of 5-4 vote the chief justice usually tried to avoid.
He fully joined Roberts’ opinion but then questioned the constitutionality of the special counsel’s office.",07/30/2024,Joan Biskupic,edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/supreme-court-john-roberts-trump-immunity-6-3-biskupic/index.html,78,607,en
Video: Keilar rolls the tape on Trump’s history of purposely mispronouncing names,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",07/30/2024,Brianna Keilar,edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/video/trump-mispronounce-names-kamala-harris-keilar-digvid,81,206,en
We’ve been wrong about a key contributor to human happiness,"But it can really, really help.
To do that, I collect large-scale data in the course of people’s everyday lives … That’s kind of the 100,000-foot view.
And I think that’s the kind of thing that doesn’t really stop at any magic threshold.
I think people need to think about this more of kind of like a happiness portfolio.
And oh, by the way, getting some daily exercise, not living in an environment that’s really polluted, that would be good.",07/30/2024,Allison Morrow,edition.cnn.com,https://edition.cnn.com/2024/07/30/business/money-happiness-study-nightcap/index.html,59,443,en
Elon Musk said Tesla robotaxi skeptics should try ‘full self driving.’ A Wall Street analyst nearly crashed,"New York CNN —Tesla CEO Elon Musk says anyone who doubts how valuable robotaxis will make the company should test drive its latest self-driving car.
A Wall Street analyst did just that – and said the car almost crashed.
The experience of WIlliam Stein, an analyst with Truist Securities, is not unique; others have also reported problems with Tesla’s full self driving, or FSD, feature.
But a note from Stein raises questions as to whether the autonomous driving and robotaxis Musk is betting Tesla’s future on are as close as he claims.
Tesla’s FSD driver-assist feature is sold as an $8,000 option.",07/30/2024,Chris Isidore,edition.cnn.com,https://edition.cnn.com/2024/07/30/business/elon-musk-tesla-robotaxi-fsd-test-drive/index.html,107,600,en
Lululemon pulls new leggings line after complaints about ‘whale tail’,"But after its new leggings became the butt of endless jokes, the company will have to leave them behind.
I’m not sure what’s going on over there, but that’s not very cute.” The customer said she is returning the leggings.
“I also am not a huge fan of the butt seam.
In a statement to CNN, a Lululemon spokesperson said it takes customer feedback seriously and will incorporate it into future designs.
Earlier this year, Lululemon said it missed out on some sales because it did not stock as many different colors of leggings as customers wanted.",07/30/2024,Nathaniel Meyersohn,edition.cnn.com,https://edition.cnn.com/2024/07/30/business/lululemon-breezethrough-leggings/index.html,69,545,en
The aviation industry mess is turning into bad news for the planet,"Air New Zealand is waiting for eight Boeing 787 Dreamliners and five Airbus A320neo and A3201neo planes, according to its website.
SAF has a lower carbon footprint than traditional jet fuel because it’s made from waste products, where the carbon has already been emitted; or from plants that absorb CO2 as they grow.
That was much higher than the 5% reduction target in international aviation emissions by 2030 agreed by 193 countries at a United Nations-backed conference last November.
The aviation industry accounted for 2% of global energy-related carbon emissions in 2022, according to the International Energy Agency (IEA).
“Planned production capacity for sustainable aviation fuels will provide just a small fraction of jet fuel demand by 2027,” notes the IEA on its website.",07/30/2024,Anna Cooban,edition.cnn.com,https://edition.cnn.com/2024/07/30/business/air-new-zealand-carbon-emissions/index.html,66,783,en
Delta hires powerful lawyer David Boies’ firm to seek compensation from CrowdStrike and Microsoft for its outage,"And now it wants Microsoft and the cybersecurity firm that caused the problem to compensate it for at least some of its losses.
Delta has hired high-profile attorney David Boies’ law firm to seek damages from cyber security firm CrowdStrike and Microsoft for the massive service issues it suffered last week following a badly flawed software update caused problems in a key computer program.
The hiring of the firm of Boies Schiller Flexner, first reported by CNBC, was confirmed to CNN by a person familiar with the decision.
Delta’s costs could total between $325 million to $475 million, according to a note published Tuesday by Savanthi Syth, airline analyst for Raymond James.
Boies and his firm won $290 million in 2023 from JPMorgan Chase for Jeffrey Epstein’s sexual abuse victims.",07/30/2024,Chris Isidore,edition.cnn.com,https://edition.cnn.com/2024/07/30/business/delta-boies-crowdstrike-microsoft/index.html,112,789,en
Vice presidents: What this election proves about the importance of running mates,"CNN —One major lesson from Vice President Kamala Harris’ sudden ascension to be the presumptive Democratic presidential nominee is that running mates matter.
It’s a point not lost on some Republicans who are second-guessing Trump’s selection of Vance and Democrats who are anticipating Harris’ pick any day.
Harris’ pick could come within days, according to CNN’s MJ Lee and Jeff Zeleny, who write that the pool of candidates has shrunk by one.
Biden went on to pick Harris, the first woman of color to be on a national party’s presidential ticket.
In 2016, Trump picked then-Indiana Gov.",07/30/2024,Zachary B. Wolf,edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/vice-presidents-what-matters/index.html,80,588,en
Longtime Biden aide Anita Dunn departing the White House,"CNN —Longtime Biden aide Anita Dunn is leaving the White House next week, according to a source familiar, and joining a super PAC supporting Vice President Kamala Harris.
This marks the first big departure from the White House in the wake of President Joe Biden’s decision to step down from the 2024 Democratic ticket.
Biden thanked Dunn for her work at the White House in a statement Tuesday, calling her “an invaluable part of our White House.”Dunn is departing the White House to serve as a senior adviser to Future Forward and Future Forward USA Action.
“She’s tough and tested, and her experience and intellect have helped us deliver historic results for the American people,” Biden said.
“I am grateful to President Biden and Vice President Harris for their leadership and giving me the opportunity to be part of what they have accomplished for the American people.”Dunn spent much of the Biden administration as one of the president’s closest advisers.",07/30/2024,"Donald Judd, Kayla Tausche, Mj Lee",edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/anita-dunn-biden-harris/index.html,56,959,en
Most Americans are tuning into political news after a month that rocked the 2024 campaign. Here’s what they’re hearing,"In initial data from late June and through July, about 8 in 10 Americans said each week that they’d read or heard at least something about Biden or Trump, respectively.
But the focus had shifted away from his criminal conviction: first to his debate against Biden, and then to the assassination attempt against him.
By contrast, two more standard campaign milestones – the Republican National Convention and Trump’s selection of a running mate – drew less public attention.
The Breakthrough survey project will run throughout the 2024 campaign, tracking the things Americans say they read, hear and see about the candidates.
Looking at the trend over time shows a sharp divergence between the conversations around Trump and Biden following the presidential debate.",07/30/2024,"Jennifer Agiesta, Ariel Edwards-Levy",edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/july-breakthrough-polling-project/index.html,118,764,en
Harris recalibrates policy stances as she adjusts to role atop Democratic ticket,"CNN —As the burgeoning Kamala Harris campaign works behind the scenes to refine its policy platform, the vice president has increasingly found herself clarifying which of her positions have shifted over the years.
A Harris campaign official said Monday she no longer supports a fracking ban.
Single-payer health careHarris’ campaign also confirmed this week that the vice president no longer supports a single-payer health care system.
As vice president, Harris supported a bipartisan border bill that would have ramped up enforcement at the US-Mexico border.
In June 2024, the White House announced a crackdown on asylum claims meant to continue reducing the flow – a policy that Harris’ campaign manager, Julie Chavez Rodriguez, indicated would continue under a Harris administration.",07/30/2024,"Arit John, Kayla Tausche",edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/harris-shifts-policy-stances/index.html,80,786,en
Investigators believe Trump shooter posted antisemitic and anti-immigration themes on YouTube,"CNN —Federal investigators are looking into a YouTube account possibly connected to the would-be Donald Trump assassin in which the user espoused political violence as well as antisemitic and anti-immigration themes, a source familiar with the investigation told CNN.
FBI Deputy Director Paul Abbate said at a congressional hearing Tuesday that investigators had uncovered a social media account where Thomas Matthew Crooks may have posted those themes but didn’t specify the platform and said they are still working to confirm the connection with the shooter.
Officials have repeatedly said that they have struggled to understand the 20-year-old shooter’s motive and that they are combing his online presence for more information.
“Something just very recently uncovered that I want to share is a social media account, which is believed to be associated with this with the shooter – in about the 2019, 2020 timeframe,” Abbate said Tuesday.
On that account, “there were over 700 comments,” Abbate said, which, “if ultimately attributable to the shooter, appear to reflect antisemitic and anti-immigration themes, to espouse political violence, and are described as extreme in nature.”CNN has reached out to YouTube for comment.",07/30/2024,"Evan Perez, Holmes Lybrand, Hannah Rabinowitz",edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/youtube-crooks-fbi-investigation/index.html,93,1227,en
The methodology behind The Breakthrough polling project,"CNN —The Breakthrough is a project from CNN, Georgetown University, the University of Michigan, SSRS and Verasight.
Each week, 1,000 Americans are asked to share what they have seen, read or heard about major presidential candidates in their own words.
Results from the two surveys are combined using SSRS’s Encipher Hybrid methodology for blending probability and non-probability samples.
Respondents have also been asked the same question about Biden since the start of the project.
To develop topics, topic words are manually identified and augmented with words and topics identified using a combination of Noiseless Latent Dirichlet Allocation (NLDA) and Guided Topic-Noise Model (GTM).",07/30/2024,Jennifer Agiesta,edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/the-breakthrough-polling-project-methodology/index.html,55,690,en
"Trump’s remarks at Bitcoin event were delayed due to security concern, Secret Service says","CNN —Former President Donald Trump’s remarks to the annual Bitcoin conference on Saturday were delayed for about an hour after two individuals were removed from the premises for “not following proper entry protocols,” the United States Secret Service said.
The two individuals were credentialed, the Secret Service said, adding that there was no “protective interest with these individuals.”The agency determined there was “never a threat to the former president,” a Secret Service spokesperson told CNN.
The former president ultimately took the stage alone and no indication of a potential security issue was relayed to the crowd.
The actions of the Secret Service that day led to bipartisan condemnation of the agency and the resignation of USSS Director Kimberly Cheatle.
Acting Secret Service Director Ronald Rowe is set to appear before a Senate panel on Tuesday to discuss how the agency will approve security measures in the wake of the assassination attempt.",07/30/2024,"Evan Perez, Steve Contorno",edition.cnn.com,https://edition.cnn.com/2024/07/30/politics/trump-bitcoin-event-security/index.html,90,966,en
"As Harris veepstakes heats up, unions voice support for Shapiro","Josh Shapiro is gaining support among union leaders – including teachers unions – despite his past support for school vouchers.
""Governor Shapiro knows better than anyone that we don't have to agree on every single issue to continue to get stuff done.
""We respectfully ask you not select Pennsylvania Governor Josh Shapiro, who has supported education policies mirroring Project 2025,"" the letter states.
As the only Governor in the nation with a divided legislature, Governor Shapiro knows better than anyone that we don't have to agree on every single issue to continue to get stuff done.
Make no mistake - Governor Shapiro has always had our backs, and the men and women of organized labor will continue to have his.",No date available,Jacqui Heinrich,www.foxnews.com,https://www.foxnews.com/politics/harris-veepstakes-heats-up-unions-voice-support-shapiro,63,719,en
Kamala Harris expected to be lone Democratic presidential candidate ahead of party's official vote,"Vice President Kamala Harris is the only presidential candidate who has qualified to run for the Democratic presidential nomination, the Democratic National Committee said Tuesday.
VP HARRIS HOLDS RALLY IN CRUCIAL BATTLEGROUND STATE DAYS BEFORE TRUMP AT SAME VENUEThe party's national convention delegates will vote to officially ratify the nominee in a new online voting procedure adopted by the party last week.
Harris had easily secured enough delegates to replace Biden as the party's presumptive nominee, according to a survey by The Associated Press.
Even with the early vote to choose a nominee, delegates will still attend the Democratic National Convention in Chicago in late August.
The party will hold a ceremonial state-by-state roll call vote on the convention floor before Harris and her running mate, who has not yet been named, deliver speeches.",No date available,Landon Mion,www.foxnews.com,https://www.foxnews.com/politics/kamala-harris-expected-lone-democratic-presidential-candidate-ahead-partys-official-vote,98,861,en
Republican wins primary for Ruben Gallego's House seat but remains long shot in November,"Pro-Trump GOP candidate Jeff Zink won Tuesday's primary in Arizona’s deep-blue 3rd Congressional District.
Zink defeated 29-year-old Jesús David Mendoza, a software engineer and political newcomer who ran as the more moderate Republican in the race.
Despite the victory, he’s still a long shot candidate to win Arizona’s most heavily-Democratic congressional district.
The nonpartisan Cook Political Report ranks it D+24, making it the most left-wing congressional district in Arizona.
It’s being vacated at the end of this year by Rep. Ruben Gallego, D-Ariz., who is running for Senate against Republican candidate Kari Lake in November.",No date available,Elizabeth Elkind,www.foxnews.com,https://www.foxnews.com/politics/republican-wins-primary-ruben-gallegos-house-seat-remains-long-shot-november,88,639,en
"Kari Lake wins GOP nod, setting up general election battle with Gallego for Sinema's seat","Gallego won his bid for the Democratic nomination to the Senate as well, officially securing the party's nod to succeed Sinema.
GOP, DEM SENATORS UNITE TO CONDEMN 'HORRIFYING' TRUMP ASSASSINATION ATTEMPTLake challenged the results following her gubernatorial election loss.
The concern has led to the Republican National Committee (RNC) devoting significant time and money to election integrity efforts.
Lake had an advantage in the Senate competition with significant name recognition already from her 2022 campaign.
CLICK HERE TO GET THE FOX NEWS APPGallego and Lake will now face off in the general election on Nov. 5.",No date available,Julia Johnson,www.foxnews.com,https://www.foxnews.com/politics/kari-lake-wins-gop-nod-setting-up-general-election-battle-gallego-sinemas-seat,89,621,en
Biden’s call for SCOTUS overhaul par for the Democratic course; experts call changes a ‘pipe dream’,"President Biden’s latest call to overhaul the Supreme Court and his warning that ""extremism is undermining public confidence"" in the bench, is part of an ongoing pattern of institutional criticism, some legal experts have said.
Biden called Monday for term limits and ethics guardrails for the justices to ""prevent abuse of presidential power and restore faith in the Supreme Court.""
""U.S. Supreme Court Justices' terms are set by the Constitution, and they are set for life — so long as the justice serves in good behavior.
In order to set term limits like President Biden proposes, it would require a constitutional amendment.""
CLICK HERE TO GET THE FOX NEWS APP""This is blatantly political [and] designed to rally the Democratic base,"" Malcolm said.",No date available,Charles Creitz,www.foxnews.com,https://www.foxnews.com/politics/bidens-call-scotus-overhaul-par-democratic-course-experts-call-changes-pipe-dream,99,752,en
Gaetz rips Air Force over 'microaggressions' document warning airmen not to tell someone to 'toughen up',"FIRST ON FOX: GOP Rep. Matt Gaetz is slamming the United States Air Force over an internal memo his office obtained, calling it a ""radical document"" that warns airmen about using ""micro aggressions.""
According to the document, airmen should avoid saying they ""don’t see color"" because that could be seen as offensive and contributes to the ""erasure of black, indigenous, and other people of color.""
I will be calling on the Air Force to make clear if they agree with this radical document.""
In a statement to Fox News Digital, a Department of the Air Force spokesperson said the U.S. Air Force ""remains laser-focused on warfighting readiness.""
""The handbook you reference is not an official Department of the Air Force policy document,"" the spokesperson added.",No date available,Andrew Miller,www.foxnews.com,https://www.foxnews.com/politics/gaetz-rips-air-force-over-microaggressions-document-warning-airmen-not-tell-someone-toughen-up,104,760,en
